start_station_id,start_lat,start_lng,city,state,postcode
3552.09,40.65816129989881,-73.9567108843988,New York,New York,10120
3555.04,40.65953133236224,-73.99501149732653,New York,New York,11206
3564.04,40.65775711393358,-74.00115471632472,New York,New York,10040
3567.05,40.66034152258333,-73.93619140965,New York,New York,10040
3579.04,40.65951819251969,-73.98018758207722,New York,New York,10120
3585.06,40.65952175385714,-73.95041524296894,New York,New York,10009
3588.01,40.65904744440248,-73.98856037659574,New York,New York,10004
3593.01,40.66025581710876,-73.96042849040253,New York,New York,10010
3596.04,40.660101265788995,-73.9986137732324,New York,New York,10009
3599.01,40.66126454997015,-73.93169922468657,New York,New York,10120
3608.06,40.661548456186665,-73.93972859572666,New York,New York,11206
3611.02,40.65993667362298,-73.97748022779838,New York,New York,10120
3617.02,40.66104052961489,-73.94796387868286,New York,New York,10458
