"tripduration","starttime","stoptime","start station id","start station name","start station latitude","start station longitude","end station id","end station name","end station latitude","end station longitude","bikeid","usertype","birth year","gender"
1059,"2021-01-01 00:09:44.7420","2021-01-01 00:27:24.2810",477,"W 41 St & 8 Ave",40.75640548,-73.9900262,442,"W 27 St & 7 Ave",40.746647,-73.993915,47992,"Subscriber",1990,1
690,"2021-01-01 00:09:46.6940","2021-01-01 00:21:16.7220",4083,"Walton Ave & E 168 St",40.83649,-73.918316,4230,"Charlotte St & Boston Rd",40.8358771,-73.8931428,49697,"Subscriber",1984,1
2895,"2021-01-01 00:10:15.3480","2021-01-01 00:58:31.0160",533,"Broadway & W 38 St",40.75299641,-73.98721619,4282,"Washington St & Barrow St",40.73191132323174,-74.008769094944,48350,"Subscriber",1986,2
43579,"2021-01-01 00:10:35.3450","2021-01-01 12:16:55.1530",533,"Broadway & W 38 St",40.75299641,-73.98721619,4282,"Washington St & Barrow St",40.73191132323174,-74.008769094944,44770,"Subscriber",1990,1
4531,"2021-01-01 00:10:41.8510","2021-01-01 01:26:13.2900",3072,"Leonard St & Boerum St",40.70583339,-73.94644578,397,"Fulton St & Clermont Ave",40.68415748,-73.96922273,49802,"Subscriber",1993,1
797,"2021-01-01 00:10:49.5710","2021-01-01 00:24:07.3280",510,"W 51 St & 6 Ave",40.7606597,-73.98042047,490,"8 Ave & W 33 St",40.751551,-73.993934,49804,"Subscriber",1985,1
386,"2021-01-01 00:10:50.7500","2021-01-01 00:17:17.0710",454,"E 51 St & 1 Ave",40.75455731,-73.96592976,3372,"E 74 St & 1 Ave",40.7689738,-73.95482273,37010,"Subscriber",1973,2
349,"2021-01-01 00:10:55.2440","2021-01-01 00:16:44.6420",4071,"Broadway & W 160 St",40.835775,-73.9434,3959,"Edgecombe Ave & W 145 St",40.823498,-73.94386,49473,"Subscriber",1996,1
353,"2021-01-01 00:11:20.3920","2021-01-01 00:17:13.8530",477,"W 41 St & 8 Ave",40.75640548,-73.9900262,478,"11 Ave & W 41 St",40.76030096,-73.99884222,47319,"Subscriber",1989,1
1030,"2021-01-01 00:11:29.3330","2021-01-01 00:28:39.3440",508,"W 46 St & 11 Ave",40.76341379,-73.99667444,447,"8 Ave & W 52 St",40.76370739,-73.9851615,27446,"Subscriber",1989,1
1798,"2021-01-01 00:11:39.3900","2021-01-01 00:41:38.2540",3236,"W 42 St & Dyer Ave",40.75898481399634,-73.99379968643188,499,"Broadway & W 60 St",40.76915505,-73.98191841,46992,"Subscriber",1954,1
624,"2021-01-01 00:11:40.0160","2021-01-01 00:22:04.4540",2003,"1 Ave & E 18 St",40.733812191966315,-73.98054420948029,470,"W 20 St & 8 Ave",40.74345335,-74.00004031,39250,"Subscriber",1965,2
753,"2021-01-01 00:11:45.1670","2021-01-01 00:24:18.8650",151,"Cleveland Pl & Spring St",40.722103786686034,-73.99724900722504,326,"E 11 St & 1 Ave",40.72953837,-73.98426726,43622,"Subscriber",1975,1
518,"2021-01-01 00:11:45.3900","2021-01-01 00:20:24.2120",468,"Broadway & W 56 St",40.7652654,-73.98192338,3164,"Columbus Ave & W 72 St",40.7770575,-73.97898475,36469,"Subscriber",1998,1
841,"2021-01-01 00:11:56.6560","2021-01-01 00:25:58.3780",510,"W 51 St & 6 Ave",40.7606597,-73.98042047,474,"5 Ave & E 29 St",40.7451677,-73.98683077,44897,"Subscriber",1969,0
748,"2021-01-01 00:12:03.4180","2021-01-01 00:24:32.0350",500,"Broadway & W 51 St",40.76228826,-73.98336183,4043,"W 78 St & Amsterdam Ave",40.782535857724106,-73.97908508777618,49564,"Subscriber",1993,2
599,"2021-01-01 00:12:05.3460","2021-01-01 00:22:04.3660",2003,"1 Ave & E 18 St",40.733812191966315,-73.98054420948029,470,"W 20 St & 8 Ave",40.74345335,-74.00004031,46867,"Subscriber",1963,1
209,"2021-01-01 00:12:05.8170","2021-01-01 00:15:35.5820",3391,"E 106 St & 1 Ave",40.7892529,-73.93956237,3387,"E 106 St & Madison Ave",40.7934337,-73.94945003,37875,"Subscriber",1989,1
367,"2021-01-01 00:12:09.8070","2021-01-01 00:18:17.1490",3506,"Lexington Ave & E 120 St",40.8013066,-73.9398167,3494,"E 115 St & Lexington Ave",40.797911,-73.9423,40164,"Customer",1995,1
405,"2021-01-01 00:12:10.0270","2021-01-01 00:18:55.5810",3808,"24 St & 41 Ave",40.752474,-73.939991,3593,"31 St & Broadway",40.761584,-73.925921,47582,"Subscriber",1973,2
726,"2021-01-01 00:12:13.4030","2021-01-01 00:24:19.5490",500,"Broadway & W 51 St",40.76228826,-73.98336183,4043,"W 78 St & Amsterdam Ave",40.782535857724106,-73.97908508777618,37369,"Subscriber",1995,1
810,"2021-01-01 00:12:30.7810","2021-01-01 00:26:01.1760",510,"W 51 St & 6 Ave",40.7606597,-73.98042047,474,"5 Ave & E 29 St",40.7451677,-73.98683077,39669,"Customer",1969,0
616,"2021-01-01 00:12:42.7680","2021-01-01 00:22:59.1660",3318,"2 Ave & E 96 St",40.7839636,-73.9471673,3372,"E 74 St & 1 Ave",40.7689738,-73.95482273,42366,"Subscriber",1998,1
195,"2021-01-01 00:12:44.3170","2021-01-01 00:15:59.4260",3300,"Prospect Park West & 8 St",40.66514681533792,-73.97637605667114,3349,"Grand Army Plaza & Plaza St West",40.6729679,-73.97087984,49351,"Subscriber",2000,1
315,"2021-01-01 00:12:45.7700","2021-01-01 00:18:01.2670",499,"Broadway & W 60 St",40.76915505,-73.98191841,3167,"Amsterdam Ave & W 73 St",40.77966809007312,-73.98093044757842,42696,"Customer",1969,0
787,"2021-01-01 00:12:50.2510","2021-01-01 00:25:57.8390",499,"Broadway & W 60 St",40.76915505,-73.98191841,505,"6 Ave & W 33 St",40.74901271,-73.98848395,47098,"Subscriber",1974,1
